timestamp,site,turbine_id,wind_speed_mps,wind_dir_deg
2025-09-01 00:00:00,Coastal,Coastal-T1,8.922212644651323,269.5281801684492
2025-09-01 01:00:00,Coastal,Coastal-T1,13.077231828439844,176.55392567835185
2025-09-01 02:00:00,Coastal,Coastal-T1,10.80403997620756,224.07458391000148
2025-09-01 03:00:00,Coastal,Coastal-T1,4.837395338462045,115.89925134783292
2025-09-01 04:00:00,Coastal,Coastal-T1,5.6345793939465665,255.81759953024405
2025-09-01 05:00:00,Coastal,Coastal-T1,12.521847735840883,219.1905751170952
2025-09-01 06:00:00,Coastal,Coastal-T1,0.8299401292100195,185.0655493695164
2025-09-01 07:00:00,Coastal,Coastal-T1,11.520988942689579,279.6925451231549
2025-09-01 08:00:00,Coastal,Coastal-T1,11.127382405853794,251.49156892779044
2025-09-01 09:00:00,Coastal,Coastal-T1,7.300346730958568,41.01634549535595
2025-09-01 10:00:00,Coastal,Coastal-T1,5.66393659853808,212.39299489604164
2025-09-01 11:00:00,Coastal,Coastal-T1,5.40967708751854,122.69856019633282
2025-09-01 12:00:00,Coastal,Coastal-T1,5.160761427842934,273.99959246810135
2025-09-01 13:00:00,Coastal,Coastal-T1,7.074963608362445,359.344489374289
2025-09-01 14:00:00,Coastal,Coastal-T1,7.664361150753249,178.8879893570794
2025-09-01 15:00:00,Coastal,Coastal-T1,8.161000919545119,214.47474915011577
2025-09-01 16:00:00,Coastal,Coastal-T1,19.376952323106934,194.93798556548415
2025-09-01 17:00:00,Coastal,Coastal-T1,11.058988915579526,231.04878673321346
2025-09-01 18:00:00,Coastal,Coastal-T1,8.890112978144954,248.67294093652822
2025-09-01 19:00:00,Coastal,Coastal-T1,17.841484800490885,287.23163619241814
2025-09-01 20:00:00,Coastal,Coastal-T1,4.726475829924457,150.75471993013292
2025-09-01 21:00:00,Coastal,Coastal-T1,4.0712124571034485,304.2980887094164
2025-09-01 22:00:00,Coastal,Coastal-T1,8.784768813451002,154.10916863738333
2025-09-01 23:00:00,Coastal,Coastal-T1,2.196789923223344,226.6253219622
2025-09-02 00:00:00,Coastal,Coastal-T1,1.9944842587751006,279.5145983746011
2025-09-02 01:00:00,Coastal,Coastal-T1,7.768146722761891,252.79192430387988
2025-09-02 02:00:00,Coastal,Coastal-T1,7.283261682486327,153.68550354069896
2025-09-02 03:00:00,Coastal,Coastal-T1,13.627226628823689,167.8845829905286
2025-09-02 04:00:00,Coastal,Coastal-T1,8.967871781151011,182.26014583612812
2025-09-02 05:00:00,Coastal,Coastal-T1,7.760388608338725,206.9298431324456
2025-09-02 06:00:00,Coastal,Coastal-T1,7.5876464135286685,278.81719489912416
2025-09-02 07:00:00,Coastal,Coastal-T1,5.081719835160385,132.4913137498923
2025-09-02 08:00:00,Coastal,Coastal-T1,1.1992097101723358,238.00209027676456
2025-09-02 09:00:00,Coastal,Coastal-T1,4.46272299920239,246.59834593037223
2025-09-02 10:00:00,Coastal,Coastal-T1,9.694848345191609,243.49732332946274
2025-09-02 11:00:00,Coastal,Coastal-T1,4.558422026891128,237.97838006747924
2025-09-02 12:00:00,Coastal,Coastal-T1,6.331514332179107,301.099087279195
2025-09-02 13:00:00,Coastal,Coastal-T1,0.7096877881810559,239.26850060197407
2025-09-02 14:00:00,Coastal,Coastal-T1,11.673659875134849,261.4175546735979
2025-09-02 15:00:00,Coastal,Coastal-T1,3.9980936129756963,243.81279029564206
2025-09-02 16:00:00,Coastal,Coastal-T1,5.296027467016535,317.5867699636975
2025-09-02 17:00:00,Coastal,Coastal-T1,12.672416191223181,96.01171562622763
