timestamp,site,turbine_id,turbine_model,wind_speed_mps,wind_dir_deg,power_electric_kw,energy_kwh,tariff_eur_mwh,eur_uah,revenue_uah,year,quarter,month,day,hour,wind_speed_bin
2025-01-01 00:00:00,Coastal,Coastal-T1,3MW-A,8.922212644651323,269.5281801684492,1205.0451067557285,1205.0451067557285,74.26062142615274,41.46065580392219,3710.2062269282724,2025,1,1,2025-01-01,0,7-9
2025-01-01 01:00:00,Coastal,Coastal-T1,3MW-A,13.077231828439844,176.55392567835185,3000.0,3000.0,72.9917981842973,41.017608795610464,8981.84706963497,2025,1,1,2025-01-01,1,12-15
2025-01-01 02:00:00,Coastal,Coastal-T1,3MW-A,10.80403997620756,224.07458391000148,2176.5894133229262,2176.5894133229262,73.55094259706713,41.43759332547374,6633.7527271697345,2025,1,1,2025-01-01,2,9-12
2025-01-01 03:00:00,Coastal,Coastal-T1,3MW-A,4.837395338462045,115.89925134783292,152.02284869812877,152.02284869812877,69.58845568814453,40.96195875560042,433.3380064125986,2025,1,1,2025-01-01,3,3-5
2025-01-01 04:00:00,Coastal,Coastal-T1,3MW-A,5.6345793939465665,255.81759953024405,267.8824674949326,267.8824674949326,74.84353793737809,40.487819944917995,811.7512993253054,2025,1,1,2025-01-01,4,5-7
2025-01-01 05:00:00,Coastal,Coastal-T1,3MW-A,12.521847735840883,219.1905751170952,3000.0,3000.0,73.12791978757267,40.267857292052824,8834.113914211986,2025,1,1,2025-01-01,5,12-15
2025-01-01 06:00:00,Coastal,Coastal-T1,3MW-A,0.8299401292100195,185.0655493695164,0.0,0.0,76.31500161289296,41.45508045688465,0.0,2025,1,1,2025-01-01,6,<3
2025-01-01 07:00:00,Coastal,Coastal-T1,3MW-A,11.520988942689579,279.6925451231549,2649.4137050099553,2649.4137050099553,71.83424575500445,41.86763149868177,7968.1904855658595,2025,1,1,2025-01-01,7,9-12
2025-01-01 08:00:00,Coastal,Coastal-T1,3MW-A,11.127382405853794,251.49156892779044,2382.3233640542626,2382.3233640542626,73.602561844023,40.76836173108699,7148.532576085886,2025,1,1,2025-01-01,8,9-12
2025-01-01 09:00:00,Coastal,Coastal-T1,3MW-A,7.300346730958568,41.01634549535595,638.5757222420767,638.5757222420767,71.9722826607391,41.28510531588036,1897.4532173616954,2025,1,1,2025-01-01,9,7-9
2025-01-01 10:00:00,Coastal,Coastal-T1,3MW-A,5.66393659853808,212.39299489604164,272.83967034424154,272.83967034424154,71.7074367715122,41.931801479823946,820.3803241723904,2025,1,1,2025-01-01,10,5-7
